,text
51,The #Canadian parliament’s Subcomm on Int’l Human Rights concluded China's systematic persecution of #Uyghurs & other Muslims constitutes genocide. The U.S. & @StateDept should make a formal determination whether the crimes in Xinjiang constitute genocide. https://ourcommons.ca/DocumentViewer/en/43-2/SDIR/news-release/10903199…
52,"Thank you Ozil for speaking up for the #Uyghurs and #StandWithUyhurs.
#FreeUyghurs"
53,"Solidarity with Ozil and #Uyghurs 
#StandwithUyghurs"
54,"STATEMENT BY THE SUBCOMMITTEE ON INTERNATIONAL HUMAN RIGHTS CONCERNING THE HUMAN RIGHTS SITUATION OF #UYGHURS AND OTHER TURKIC MUSLIMS IN XINJIANG, #CHINA
https://ourcommons.ca/DocumentViewer/en/43-2/SDIR/news-release/10903199…"
55,"Statement by the Subcommittee on International human rights concerning the human rights situation of Uyghurs and other Turkic Muslims in Xinjiang, China.

#Uyghurs #UyghurGenocide #UyghurLivesMatter 
@UyghurCongress
 @CUyghurs
 @RushanAbbas
 @UyghurProject
 @UyghurBulletin"
56,"STATEMENT BY THE SUBCOMMITTEE ON INTERNATIONAL HUMAN RIGHTS CONCERNING THE HUMAN RIGHTS SITUATION OF #UYGHURS AND OTHER TURKIC MUSLIMS IN XINJIANG, #CHINA"
57,"""Imagine not knowing the whereabouts and condition of your parents, children, brothers, sisters. For many #Uyghurs abroad, that is the daily reality."""
58,"Thank you speaking up for the #Uyghurs. It is totally unacceptable to be treated like that, when you speak up for your brothers and sisters. It is sad to see that Arsenal is just licking China’s Ass, neglecting the fact that millions of uyghurs are suffering."
59,Actions are urgently needed to save #Uyghurs !
60,"Ban #Mongolians from learning their language and culture in schools in Inner #Mongolia, but they are allowed to learn how to dance. So when the #CCP start locking them up they can go on #twitter to show you how happy they are. Just like the #Uyghurs 
#China's #EthnicCleansing"
61,IKR? Like the #Uyghurs matter. And they’re #Muslims so no big deal. Disposable and a forgotten people. #UyghurGenocide
62,"Yes, indeed, because, there is no news coming out of #CCPChina about #ConcentrationCamps, I am forced to follow #Uyghurs for the news and can confirm that persecution of #Uyghurs is happening as we speak and Also can see few #Wumaos supporting it."
63,"Communist China has stripped away the human rights of the people of #HongKong & established concentration camps to imprison, torture & enslave #Uyghurs.
 
RT 
 if you agree the IOC should move the 2022 
@Olympics
 out of Beijing and join us in standing up for human rights."
64,"quote：In his new album scheduled for November 6th, 
@Medinrecords
 will highlight the current situation of #Uyghurs in #China.

#UyghurGenocide #ConcentrationCamps #NeverAgain #EastTurkistan #Xinjiang #FreeOuighours #franceforuyghur

#Twitter #不讓直接轉推 "
65,"In his new album scheduled for November 6th, @Medinrecords will highlight the current situation of #Uyghurs in #China.

#UyghurGenocide #ConcentrationCamps #NeverAgain #EastTurkistan #Xinjiang #FreeOuighours #franceforuyghur twitter.com/Medinrecords/s…"
66,"It's exactly 4 years since 
@NathanPSouthern
 and I travelled to #Xinjiang to report on #China's treatment of the #Uyghurs. This was before 1 million people were forced into internment camps, but there were already plenty of signs things were heading in that direction (a thread)."
67,"quote：The #Canadian parliament’s Subcomm on Int’l Human Rights concluded China's systematic persecution of #Uyghurs & other Muslims constitutes genocide. The U.S. & 
@StateDept
 should make a formal determination whether the crimes in Xinjiang ……

#Twitter #不讓直接轉推 "
68,"The #Canadian parliament’s Subcomm on Int’l Human Rights concluded China's systematic persecution of #Uyghurs & other Muslims constitutes genocide. The U.S. & 
@StateDept
 should make a formal determination whether the crimes in Xinjiang constitute genocide."
