index,1. open,2. high,3. low,4. close,5. volume
2020-11-04 13:00:00,127.88,128.93,127.77,128.37,437743.0
2020-11-04 12:00:00,127.79,128.34,127.17,127.885,498627.0
2020-11-04 11:00:00,127.2,128.45,127.08,127.85,854185.0
2020-11-04 10:00:00,124.3,127.29,122.34,127.23,740608.0
2020-11-04 09:00:00,123.7212,125.0,123.54,124.12,16675.0
2020-11-04 08:00:00,124.01,125.0,124.0,125.0,4286.0
2020-11-04 07:00:00,124.26,124.26,124.0,124.0,420.0
2020-11-04 06:00:00,124.86,124.86,124.86,124.86,429.0
2020-11-03 20:00:00,126.0,126.0,124.22,124.22,1116.0
2020-11-03 19:00:00,125.09,126.0,125.09,126.0,1168.0
2020-11-03 17:00:00,124.59,124.6025,124.5775,124.6025,97217.0
2020-11-03 16:00:00,124.56,125.5,124.17,124.61,807214.0
2020-11-03 15:00:00,123.76,124.8,123.69,124.56,297296.0
2020-11-03 14:00:00,124.57,124.7,123.665,123.77,227970.0
2020-11-03 13:00:00,124.54,124.78,124.37,124.57,266751.0
2020-11-03 12:00:00,125.21,125.4,124.52,124.5543,405548.0
2020-11-03 11:00:00,124.25,125.365,124.12,125.2,464989.0
2020-11-03 10:00:00,123.8098,124.4986,123.19,124.27,405492.0
2020-11-03 09:00:00,124.4352,124.5,124.23,124.3,1603.0
2020-11-03 08:00:00,124.19,124.2,124.19,124.19,478.0
2020-11-03 07:00:00,124.2,124.35,124.19,124.2,1140.0
2020-11-03 05:00:00,124.2,124.2,124.2,124.2,200.0
2020-11-02 20:00:00,122.67,122.67,122.67,122.67,169.0
2020-11-02 18:00:00,122.44,122.48,122.44,122.48,350.0
2020-11-02 17:00:00,122.39,122.5,122.3778,122.5,102434.0
2020-11-02 16:00:00,122.3,122.635,121.77,122.38,957481.0
2020-11-02 15:00:00,121.46,122.4,121.3,122.32,354406.0
2020-11-02 14:00:00,121.8,122.12,121.425,121.44,333389.0
2020-11-02 13:00:00,123.12,123.15,121.61,121.82,416279.0
2020-11-02 12:00:00,122.72,123.15,122.06,123.12,407521.0
2020-11-02 11:00:00,123.03,124.1,122.41,122.75,876646.0
2020-11-02 10:00:00,121.51,123.13,121.1,122.98,760787.0
2020-11-02 09:00:00,122.3,122.3,121.35,121.9,5733.0
2020-11-02 08:00:00,122.0,122.4,121.6,121.75,3997.0
2020-11-02 07:00:00,122.0,122.0,122.0,122.0,580.0
2020-11-02 06:00:00,121.24,121.51,121.24,121.51,2645.0
2020-10-30 20:00:00,120.3,120.3,120.1,120.1,280.0
2020-10-30 18:00:00,120.08,120.08,120.08,120.08,200.0
2020-10-30 17:00:00,120.08,120.5,119.7,120.09,615148.0
2020-10-30 16:00:00,119.46,120.33,118.8,120.25,1819319.0
2020-10-30 15:00:00,120.29,120.66,119.21,119.48,462364.0
2020-10-30 14:00:00,120.2,120.53,119.75,120.31,359636.0
2020-10-30 13:00:00,119.52,120.63,119.44,120.23,535085.0
2020-10-30 12:00:00,119.34,120.07,119.135,119.51,908197.0
2020-10-30 11:00:00,121.98,122.16,119.32,119.349,924226.0
2020-10-30 10:00:00,123.2,123.66,121.31,122.0,673762.0
2020-10-30 09:00:00,122.42,122.42,122.0,122.0,314.0
2020-10-30 08:00:00,122.23,122.61,122.2,122.47,3034.0
2020-10-30 07:00:00,122.1,122.1,122.1,122.1,2411.0
2020-10-30 05:00:00,121.4,121.4,121.4,121.4,200.0
2020-10-29 20:00:00,122.34,122.3401,122.34,122.34,1310.0
2020-10-29 19:00:00,121.8,121.8,121.8,121.8,222.0
2020-10-29 18:00:00,122.0,122.0,122.0,122.0,420.0
2020-10-29 17:00:00,122.86,124.22,122.03,122.03,267011.0
2020-10-29 16:00:00,123.445,123.62,122.86,122.86,952038.0
2020-10-29 15:00:00,123.42,124.19,123.37,123.445,511676.0
2020-10-29 14:00:00,122.94,123.52,122.55,123.4428,301698.0
2020-10-29 13:00:00,123.13,123.18,122.7,122.91,349948.0
2020-10-29 12:00:00,123.02,123.43,122.33,123.08,525345.0
2020-10-29 11:00:00,122.2,123.48,121.96,123.01,749038.0
2020-10-29 10:00:00,121.7242,122.49,121.15,122.22,626521.0
2020-10-29 09:00:00,123.1599,123.1599,122.0,122.25,2504.0
2020-10-29 08:00:00,123.14,123.15,121.79,121.85,2867.0
2020-10-28 20:00:00,122.93,122.93,122.93,122.93,449.0
2020-10-28 19:00:00,122.48,122.48,122.48,122.48,150.0
2020-10-28 18:00:00,122.08,122.98,122.08,122.48,1633.0
2020-10-28 17:00:00,122.08,122.0922,122.08,122.0922,197027.0
2020-10-28 16:00:00,122.27,122.57,121.04,122.11,2581444.0
2020-10-28 15:00:00,123.01,123.02,122.09,122.23,898286.0
2020-10-28 14:00:00,122.68,123.71,122.14,123.04,1045216.0
2020-10-28 13:00:00,123.79,123.97,122.435,122.7,849048.0
2020-10-28 12:00:00,123.67,124.16,123.24,123.78,681394.0
2020-10-28 11:00:00,125.32,125.51,123.4,123.68,897639.0
2020-10-28 10:00:00,125.0,126.4,124.688,125.34,648695.0
2020-10-28 09:00:00,126.0,126.0,125.0,125.0,6777.0
2020-10-28 08:00:00,126.0,126.0,125.9,126.0,2490.0
2020-10-28 07:00:00,125.9,126.0,125.7,125.7,723.0
2020-10-28 06:00:00,126.4,126.4,126.4,126.4,200.0
2020-10-28 05:00:00,125.72,125.72,125.72,125.72,289.0
2020-10-27 20:00:00,127.36,127.36,127.36,127.36,134.0
2020-10-27 19:00:00,127.1,127.1,127.1,127.1,113.0
2020-10-27 18:00:00,127.83,127.83,127.83,127.83,300.0
2020-10-27 17:00:00,127.99,128.0028,127.49,127.49,85065.0
2020-10-27 16:00:00,128.51,128.58,127.9,128.015,844869.0
2020-10-27 15:00:00,128.83,128.87,128.18,128.5,342957.0
2020-10-27 14:00:00,128.42,129.03,128.2,128.8399,221513.0
2020-10-27 13:00:00,128.87,128.98,128.3,128.44,166748.0
2020-10-27 12:00:00,128.785,128.9533,128.12,128.8438,249784.0
2020-10-27 11:00:00,128.745,129.49,128.52,128.715,313066.0
2020-10-27 10:00:00,128.7,129.39,128.62,128.73,294276.0
2020-10-27 08:00:00,128.58,128.68,128.36,128.68,3003.0
2020-10-26 20:00:00,128.22,128.22,128.22,128.22,100.0
2020-10-26 19:00:00,128.25,128.25,128.25,128.25,200.0
2020-10-26 18:00:00,128.47,128.47,128.25,128.25,382.0
2020-10-26 17:00:00,128.37,128.3828,128.35,128.3828,555735.0
2020-10-26 16:00:00,127.97,128.53,127.58,128.44,872699.0
2020-10-26 15:00:00,127.57,128.15,127.5,127.95,404338.0
2020-10-26 14:00:00,127.18,127.61,126.68,127.57,365278.0
2020-10-26 13:00:00,127.9296,128.0,127.02,127.18,371562.0
2020-10-26 12:00:00,128.29,128.4579,127.73,127.91,566486.0
2020-10-26 11:00:00,129.13,129.62,128.26,128.33,889982.0
2020-10-26 10:00:00,128.25,129.32,128.25,129.13,403019.0
2020-10-26 09:00:00,128.96,128.96,128.0,128.0,2065.0
2020-10-26 08:00:00,128.59,128.76,128.48,128.48,977.0
2020-10-26 06:00:00,128.0,128.35,128.0,128.35,1279.0
2020-10-26 05:00:00,128.89,128.89,128.05,128.05,758.0
2020-10-23 19:00:00,129.71,129.71,129.71,129.71,200.0
2020-10-23 18:00:00,129.99,129.99,129.99,129.99,120.0
2020-10-23 17:00:00,129.99,130.0,129.99,129.99,93581.0
2020-10-23 16:00:00,130.13,130.23,129.9,130.0,693339.0
2020-10-23 15:00:00,129.96,130.37,129.87,130.1,290108.0
2020-10-23 14:00:00,128.97,129.98,128.97,129.96,183555.0
2020-10-23 13:00:00,129.175,129.55,128.92,128.98,185426.0
2020-10-23 12:00:00,129.49,129.83,129.08,129.13,231536.0
2020-10-23 11:00:00,129.265,129.67,128.65,129.53,439700.0
2020-10-23 10:00:00,130.31,130.6,129.11,129.23,1640148.0
2020-10-23 09:00:00,130.35,130.42,130.02,130.12,2533.0
2020-10-23 08:00:00,130.4,130.4,130.4,130.4,350.0
2020-10-23 06:00:00,130.4,130.4,130.4,130.4,272.0
